GeneID	condition_X_Ave	condition_Y_Ave	log2FoldChange	padj
cCluster_21541	747.757855195139	1126.33906010314	0.591059536205214	9.54758693715322e-06
cCluster_21543	2991.6745527442	1466.12568813065	-1.02947264355039	2.14089520473162e-16
cCluster_21544	60928.0368355445	3748.18805820668	-4.02330513237002	0
cCluster_21547	3356.27105345818	1830.56866143297	-0.874277855663675	4.0412717750619e-11
cCluster_21548	535.973759610981	388.700178571286	-0.46225366380452	0.0846967348430576
cCluster_21549	8520.24133662428	3382.00967231198	-1.33288263026439	1.00278532049888e-10
cCluster_21550	8918.58987215967	6019.41898101294	-0.566961945503098	1.87225200954406e-16
cCluster_21552	226.485706817197	659.469076276506	1.54289553821622	1.95567899192716e-12
cCluster_21554	2382.16832735612	821.302562733842	-1.53541060978036	5.5844636873088e-14
cCluster_21556	1311.73256879346	3101.25897042609	1.2415095627383	2.77785173013056e-16
cCluster_21557	94.1586027249548	4847.9059607434	5.68564417367607	2.1340909984202e-295
cCluster_21558	2892.60252878206	497.753768431157	-2.53900540916028	2.06086972773826e-49
cCluster_21562	55.6966229201124	1398.32777063112	4.64669616405834	6.51176077950628e-87
cCluster_21563	4.35007759608949	299.05971037079	6.12726609654852	6.70856361481026e-18
cCluster_21565	4975.70433318957	3827.94488768837	-0.378698375160385	0.00172743801818145
cCluster_21566	0	1527.64546402995	12.7366058410233	6.35252812505887e-18
cCluster_21567	1019.57684467849	3420.86536526929	1.74585137489267	5.21394504627361e-15
cCluster_21569	770.949585879745	3411.29947516541	2.14618209730885	9.14017243343668e-94
cCluster_21573	12.7632667216172	351.599151240983	4.78389698644808	1.58518601293722e-25
cCluster_21574	68.4024964283994	406.083011194929	2.56756888761556	5.01961573169604e-17
cCluster_21576	1920.15361737436	1004.07157775689	-0.935375271283554	2.34943900793098e-17
cCluster_21579	99.3760908919008	4428.24756370138	5.48063599192831	1.637157342861e-258
cCluster_21581	43.4498951184676	3089.06903920509	6.15875841729737	6.92628547584993e-160
cCluster_21585	76.5796003297032	1753.15453161678	4.51674039906256	5.02812896196996e-116
cCluster_21588	791.655089403238	934.246610300812	0.238124392601998	0.402004697335444
cCluster_21589	1400.29268609565	1078.01726204341	-0.37691459503964	0.257492982608729
cCluster_21591	115.903696459296	4566.02703402962	5.29925364538014	9.52464363780649e-05
cCluster_21592	174.476492416824	1258.02566372684	2.84897271284726	1.75631519180231e-09
cCluster_21595	555.843196293335	459.593232096276	-0.273986687697271	0.131143481008585
