""	"PromoterCounts_BamGal4_1.txt"	"PromoterCounts_BamGal4_2.txt"	"PromoterCounts_KmgKD_1.txt"	"PromoterCounts_KmgKD_2.txt"
"cCluster_10335"	235.722875912996	221.699238239453	684.559709487851	676.752927327305
"cCluster_10336"	82.2806264979325	81.8889078181764	2211.78382795215	2549.52832370475
"cCluster_10338"	9930.38209801399	8764.11042697946	2248.78705549203	3113.48909647751
"cCluster_10339"	31353.3662971446	25161.8648949606	6908.67077818513	7894.3867418888
"cCluster_10342"	217.932470183713	1767.60203461186	1018.42973979089	1105.57593002055
"cCluster_10343"	2277.17193334819	1473.00169550988	968.811775589686	849.133389948411
"cCluster_10345"	2355.0049584138	2458.66452497988	2097.41021555614	1588.66685613155
"cCluster_10348"	978.472315110548	1049.57612337687	1456.58159316088	1260.9311617655
"cCluster_10351"	366.927118166456	375.490601702857	1726.53695771322	1833.40454997633
"cCluster_10353"	197.91826373827	75.8970365144074	1132.8033521869	1111.96039159911
"cCluster_10355"	749.420841346034	991.65470077377	2384.18522899024	2665.51270904858
"cCluster_10356"	340.241509572532	343.533954749423	816.593953209709	794.865466530656
"cCluster_10362"	27.7975089520042	13.9810330421277	3332.81342592181	3266.71617436294
"cCluster_10363"	58.9307189782489	44.9390347782675	983.949459583274	952.348852135123
"cCluster_10364"	3237.85384272945	3616.09433182459	919.193811388478	962.989621432722
"cCluster_10365"	209.037267319072	165.775106070942	1203.44587749031	1114.08854545863
"cCluster_10370"	13.342804296962	9.98645217294834	576.072974200464	600.139388384591
"cCluster_10373"	749.420841346034	747.98526775383	2136.93639042829	2335.64886082301
"cCluster_10378"	919.541596132299	874.813210350274	1014.22482757045	995.976006255279
"cCluster_10379"	416.962634280063	412.440474742766	1717.28615082824	1708.90754919442
"cCluster_10385"	230.163374122595	152.79271824611	1258.95071880014	1837.66085769537
"cCluster_10386"	9701.33062424947	9472.1498860415	3069.58592092218	3821.10025476785
"cCluster_10388"	205.701566244831	146.800846942341	2087.31842622708	1726.99685700034
"cCluster_10389"	165.673153353945	172.765622592006	1356.50468231438	1505.66885561028
"cCluster_10390"	186.799260157468	14.9796782594225	979.744547362833	705.483004430823
"cCluster_10391"	504.802762568397	509.309060820365	0	0
"cCluster_10392"	10062.6982406255	9331.34091040293	5680.83640981625	5797.09111333201
"cCluster_10396"	2774.19139341002	2631.43014757189	2808.04038081073	3394.40540593413
"cCluster_10397"	379.158022105338	419.43099126383	3294.96921593784	2858.11063333513
"cCluster_1040"	4516.53925452165	3939.65538222812	2925.77792298309	3372.05979040917
"cCluster_10400"	3500.26232723637	3377.41812489113	3496.80500251902	3725.33333108946
"cCluster_10403"	533.712171878481	670.090940804833	946.946232043391	1030.0264680076
"cCluster_10404"	3946.13437082652	5229.90500297304	2979.60079940474	3521.03056057556
"cCluster_10405"	1203.07618744274	390.47027996228	1883.80067475772	1343.92916228677
"cCluster_10407"	2846.46491668523	2722.30686234572	1819.04502656293	1858.94239629057
"cCluster_1041"	12.2309039388819	0	686.241674376027	600.139388384591
"cCluster_10414"	1161.93587419378	1062.5585112017	2780.28796015582	2843.21355631849
"cCluster_1042"	939.555802577742	1278.26587813739	3238.62339218392	3922.18756309504
"cCluster_10420"	1780.15247328635	1546.9014415897	1876.23183276093	1848.30162699297
"cCluster_10421"	831.701467843966	1023.6113477272	4164.54506312511	4631.92687524491
"cCluster_10423"	348.024812079093	393.466215614164	1877.07281520502	1768.49585726098
"cCluster_10425"	1703.43134857882	1286.25503987575	845.18735630871	926.811005820885
"cCluster_10428"	1538.87009558295	1819.53158591119	1660.09934463024	1509.92516332932
"cCluster_10430"	2604.07063862376	2583.49517714173	4147.72541424334	4285.03779614317
"cCluster_10433"	0	5.991871303769	367.509328066573	242.60953998526
"cCluster_10435"	490.348057913354	505.314479951186	765.294024120324	773.583927935457
"cCluster_10436"	3928.34396509724	3996.57815961392	1556.65850400739	1773.81624190978
"cCluster_10437"	3103.31389940175	3134.74733708848	1435.55703205867	1060.88469897063
"cCluster_10439"	1.11190035808017	0	894.805320509918	957.669236783923
"cCluster_10442"	105.630534017616	132.819813900213	1855.20727165872	1952.58116610944
"cCluster_10446"	1.11190035808017	1.99729043458967	590.369675749965	600.139388384591
"cCluster_10447"	4.44760143232067	3.99458086917933	2161.32488130685	2159.01209048287
"cCluster_10450"	1661.17913497177	1444.04098420833	604.666377299465	629.933542417869
"cCluster_10454"	12064.1188851698	11328.6313449926	9940.41248912334	10033.1813707062
"cCluster_10455"	93.3996300787342	156.787299115289	542.433676436933	447.976387428924
"cCluster_10456"	0	0	688.764621708292	751.238312410499
"cCluster_10457"	1.11190035808017	2.9959356518845	452.448554919489	390.516233221888
"cCluster_10458"	1641.16492852633	1843.49907112626	1652.53050263345	1834.46862690609
"cCluster_1046"	4043.98160233757	3797.84776137225	2231.96740661027	2398.42939967885
"cCluster_10460"	4257.46647108897	3922.67841353411	7674.80578474954	8243.40397485005
"cCluster_10461"	1015.16502692719	1385.12091638793	994.882231356422	1275.82823878214
"cCluster_10464"	807.239659966202	729.011008625229	179.97024303489	143.650385517588
"cCluster_10466"	172.344555502426	166.773751288237	728.290796580441	728.892696885541
"cCluster_10468"	80.0568257817721	124.830652161854	454.130519807665	804.442158898495
"cCluster_10469"	1493.28218090167	1554.89060332806	4195.66141355637	3992.4166404592
"cCluster_1047"	13040.3673995642	12413.1600509748	8089.41012968506	7600.70150927507
"cCluster_10470"	8635.01818085059	8682.22151916128	15959.3238414631	19096.9886584012
"cCluster_10471"	0	0	1599.54860865589	1299.23793123685
"cCluster_10474"	851.715674289409	742.992041667356	1342.20798076488	1107.70408388007
"cCluster_10475"	7294.06634900591	7703.54920621235	8551.10949148952	7979.51289626959
"cCluster_10476"	422.522136070464	850.845725135198	2838.31574879791	3296.51032839621
"cCluster_10477"	398.0603281927	532.277900818146	1344.73092809714	1634.42216411123
"cCluster_10478"	101.182932585295	102.860457381368	290.979925654541	690.585927414184
"cCluster_10479"	10589.7390103555	9158.57528781092	14543.1094056184	15805.7987146538
"cCluster_10480"	0	0	1108.41486130834	1362.01847009269
"cCluster_10481"	389.165125328059	636.137003416809	1535.63394290518	1925.97924286544
"cCluster_10482"	40.0284128908861	29.959356518845	1625.61906442262	1868.51908865841
"cCluster_10484"	26086.2943009188	24279.062522872	25613.8022995964	26349.7370116447
"cCluster_10487"	8520.49244396833	7382.98409146071	1003.2920557973	897.016851787607
"cCluster_10488"	0	0	5209.88624112682	5325.70503344837
"cCluster_10491"	1489.94647982743	1658.74970592672	1638.23380108395	1143.88269949191
"cCluster_10492"	0	0	1585.25190710639	2206.89555232206
"cCluster_10493"	1327.60902754772	1335.18865552319	6059.27850965598	6292.95096260013
"cCluster_10495"	43296.2880432837	43432.0791453696	13815.6595914821	15554.6765592304
"cCluster_10497"	4930.16618772747	3112.777142308	3541.3770720557	3177.3337122631
"cCluster_10501"	5831.91737813048	6091.73582549849	141.285050606829	118.11253920335
"cCluster_10502"	4132.93363098399	2832.15783624815	13.4557191054123	0
"cCluster_10504"	1466.59657230774	423.425572133009	0	0
"cCluster_10509"	6202.18019737118	3973.60931961614	3945.04864521807	5152.2604938975
"cCluster_1051"	13852.0546609627	12276.3456562054	2985.48767651335	4892.62572303608
"cCluster_10511"	2123.72968393312	1661.7456415786	1412.85050606829	823.595543634173
"cCluster_10515"	60.0426193363291	37.9485182572037	510.476343561579	598.011234525072
"cCluster_10516"	0	4.99322608647417	1191.67212327308	1087.48662221463
"cCluster_10517"	241.282377703397	237.67756171617	1445.64882138773	1629.10177946243
"cCluster_10518"	7.78330250656118	0	3736.48499908418	4432.9444893798
"cCluster_10519"	37.8046121747257	37.9485182572037	2289.99519525236	3152.85994287862
"cCluster_10520"	87.8401282883333	93.8726504257144	5274.64188932162	5526.81557317299
"cCluster_10521"	126.756640821139	120.836071292675	759.407147011707	871.47900547337
"cCluster_10522"	22.2380071616034	11.983742607538	545.797606213286	648.022850223788
"cCluster_10523"	165.673153353945	117.84013564079	1888.00558697816	1986.63162786176
"cCluster_10525"	1403.21825189717	1028.60457381368	69.8015428593263	60.6523849963151
"cCluster_10528"	261.29658414884	308.581372144104	3937.47980322127	4445.71341253692
"cCluster_10529"	94.5115304368143	39.9458086917933	4144.36148446699	5183.11872486054
"cCluster_1053"	93.3996300787342	86.8821339046505	1573.47815288915	1587.60277920179
"cCluster_10532"	22886.2450703641	19272.854048573	5784.27725043911	5797.09111333201
"cCluster_10537"	454.767246454789	379.485182572037	4222.5728517672	5327.83318730789
"cCluster_10538"	8885.19576141863	7450.89196623675	0	0
"cCluster_10539"	0	388.47298952769	911.624969391683	1088.55069914439
"cCluster_1054"	10388.485045543	10012.416948598	1606.27646820859	2402.68570739789
"cCluster_10541"	1705.65514929498	1570.86892680477	2525.47027959707	2417.58278441452
"cCluster_10546"	3571.4239501535	3835.79627962946	4131.74674780566	3939.2127939712
"cCluster_1055"	2745.28198409994	1983.30940154754	704.743288145969	572.473388210834
"cCluster_10550"	3039.93557899118	3274.55766750976	3601.92780803005	3847.70217801185
"cCluster_10551"	1022.94832943376	920.750890345837	1729.05990504548	1707.84347226466
"cCluster_10554"	5468.32596103827	5512.52159946748	2342.13610678583	2331.39255310397
"cCluster_10556"	7650.98636394964	7821.38934185314	11582.0102199836	11062.1437617841
"cCluster_1056"	5036.90862210316	4703.61897345867	2876.15995878188	2761.27963272698
"cCluster_10561"	88457.2329870678	85648.8070612914	34232.190386613	31660.5449680765
"cCluster_10562"	1694.53614571418	1274.27129726821	816.593953209709	1048.11577581352
"cCluster_10563"	890.632186822215	646.123455589757	378.442099839721	350.081309891012
"cCluster_10564"	65.60212112673	315.571888665167	926.762653385272	974.694467660081
"cCluster_10565"	343.577210646772	241.67214258535	499.543571788432	600.139388384591
"cCluster_10569"	6169.93508698686	5974.89433507499	3073.79083314262	3078.37455779543
"cCluster_1057"	2069.24656638719	1625.79441375599	1758.49429058857	2310.11101450877
"cCluster_10571"	514.809865791118	542.264352991095	2317.74761590727	2542.07978519643
"cCluster_10573"	1766.80966898939	1780.58442243669	1081.50342309751	1047.05169888376
"cCluster_10576"	9492.2933569304	8229.83523572672	6962.49365460678	6736.67104231001
"cCluster_10577"	5742.96534948407	4324.13379088663	6601.71218609291	6797.32342730633
"cCluster_1058"	5165.88906364046	3649.04962399532	1977.99070849561	2333.52070696349
"cCluster_10580"	3205.60873234513	2667.3813753945	252.294733226481	270.275540159018
"cCluster_10581"	11102.3250754305	9931.52668599712	5679.15444492808	5300.16718713413
"cCluster_10585"	1337.61613077044	1423.06943464514	3361.40682902081	3761.5119467013
"cCluster_10587"	3026.59277469422	2770.24183277587	2760.94536394179	2754.89517114842
"cCluster_1059"	3104.42579975983	2018.26198415286	1885.4826396459	1370.53108553077
"cCluster_10593"	1330.94472862196	1388.11685203982	2291.67716014053	2408.00609204669
"cCluster_10594"	1002.93412298831	941.722439909028	1712.24025616372	1820.63562681921
"cCluster_10599"	8315.90277808158	8043.08858009259	11703.9526743764	11972.9936136586
"cCluster_106"	1970.28743451806	1994.29449893778	2127.68558354332	2061.11701294495
"cCluster_1060"	1298.69961823764	2817.17815798873	2948.48444897347	2720.8447093961
"cCluster_10600"	575.964385485527	533.276546035441	620.645043737142	624.613157769069
"cCluster_10602"	3375.72948713139	3818.81931093544	3071.26788581036	3406.11025216148
"cCluster_10603"	1380.98024473557	1226.33632683806	1623.93709953445	1456.72131684132
"cCluster_10604"	806.127759608122	880.805081654043	960.401951148803	1070.46139133847
"cCluster_10605"	130.09234189538	158.784589549879	358.258521181602	420.310387255166
"cCluster_10606"	291.317893817004	431.414733871368	364.986380734309	472.450156813402
"cCluster_10607"	76.7211247075316	44.9390347782675	93.3490512937978	333.056079014853
"cCluster_10608"	15.5666050131224	26.9634208669605	337.233960079396	434.143387342045
"cCluster_10612"	378.046121747257	662.101779066475	4819.67038706987	5252.28372529493
"cCluster_10613"	1185.28578171346	1080.53412511301	1211.01471948711	1470.5543169282
"cCluster_10614"	19622.8175193988	17475.2926574423	13336.2995983518	15887.7326382453
"cCluster_10615"	3691.50918882616	2843.14293363839	4609.4247760478	4410.59887385484
"cCluster_10616"	2.22380071616034	15.9783234767173	867.893882299093	943.836236697044
"cCluster_10617"	24.4618078777637	21.9701947804863	2514.53750782392	2707.01170930922
"cCluster_10618"	11.1190035808017	32.9552921707295	8225.64928562736	8625.40759263386
