""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"cCluster_35157"	2663.32298923991	0.519614934575248	0.0816836621599347	6.36130801233978	2.00042837790753e-10	3.93099427926246e-10
"cCluster_19700"	27211.3231081664	-0.350531077290053	0.0551096193819491	-6.36061510170523	2.00947408381006e-10	3.94838135196792e-10
"cCluster_31760"	449.639565959799	1.76992364283054	0.278284029633136	6.36013372798951	2.01578175949777e-10	3.96038562466489e-10
"cCluster_13568"	442.211142053703	-1.96410687512556	0.308896961135751	-6.35845321334319	2.03795436585163e-10	4.00355413629881e-10
"cCluster_8757"	4556.94966078433	-0.475821138573504	0.0748336469993379	-6.35838499996818	2.03885938262461e-10	4.00493816185727e-10
"cCluster_43005"	3737.3035625868	1.1031020836684	0.173497201500511	6.35803963480734	2.04344752326279e-10	4.01355597612333e-10
"cCluster_12094"	2645.05161129794	0.847668159028482	0.133334786088227	6.35744192417711	2.05141189224505e-10	4.02880065643151e-10
"cCluster_41510"	3623.37989449509	-1.03352940750748	0.162570395918151	-6.35742689602496	2.05161252952297e-10	4.02880065643151e-10
"cCluster_11375"	473.619806023517	-1.9802596400036	0.31167152774497	-6.35367514745839	2.10230565459773e-10	4.12794214593431e-10
"cCluster_13293"	89.1988643447902	-10.0016071187743	1.57503405346528	-6.35008944522153	2.15189770959432e-10	4.22490237361378e-10
"cCluster_1585"	1628.07061041452	-1.12111826443624	0.176566418826225	-6.34955543579119	2.15938042502163e-10	4.23917680489504e-10
"cCluster_3588"	499.511704739083	7.50092718780034	1.18136012836078	6.34939931332237	2.1615728618429e-10	4.24306386746384e-10
"cCluster_16040"	232.330252140705	11.2267522706739	1.76850553195907	6.34815784728553	2.17908440617747e-10	4.27701788477891e-10
"cCluster_19192"	164.210059029449	2.30061193908878	0.362494391772936	6.34661388231868	2.20105628900999e-10	4.31971894016257e-10
"cCluster_5538"	94.4926320288753	4.14722011259026	0.653526804864534	6.34590667394265	2.21119256542298e-10	4.33918572495569e-10
"cCluster_16035"	116.217663544188	10.2284887389241	1.61187962193533	6.34569021143343	2.21430418328015e-10	4.34486503546375e-10
"cCluster_39886"	982.882367532467	0.875639267554852	0.137995588391135	6.3454149350988	2.21826742037131e-10	4.35221409703536e-10
"cCluster_31257"	16270.070482053	-0.912824721848044	0.143863190482716	-6.34508882213142	2.22297153518421e-10	4.36101516551803e-10
"cCluster_42524"	100.183223485093	10.0141459462481	1.57831479048685	6.34483438069992	2.22664856834383e-10	4.3677997793055e-10
"cCluster_9561"	962.402200984091	1.82809648676319	0.288152992501091	6.34418706151827	2.2360300371221e-10	4.38577179806697e-10
"cCluster_14184"	4671.72525945433	0.784035827729237	0.123610274616632	6.34280467510379	2.2561941428107e-10	4.42488738366654e-10
"cCluster_5452"	2028.59143186491	-0.657795172533546	0.103708177645763	-6.34275124166566	2.25697710170699e-10	4.42598837685029e-10
"cCluster_27514"	4766.71966337967	-0.782036779660151	0.123337643738041	-6.34061715433071	2.28846574225216e-10	4.4872978503472e-10
"cCluster_10968"	1150.83927153014	1.18525408597529	0.186932715299184	6.34053854125159	2.2896338424575e-10	4.48914762495962e-10
"cCluster_16414"	619.387968765952	-1.21289576486578	0.191299150914564	-6.3403091914792	2.29304504612371e-10	4.49539452314469e-10
"cCluster_8091"	86.6364990695945	4.37143081100558	0.68946815252022	6.34029402957431	2.29327072957196e-10	4.4953957628263e-10
"cCluster_2673"	3219.97744039117	1.31371294017203	0.207218960267428	6.33973328732374	2.3016325785371e-10	4.51134439763307e-10
"cCluster_40609"	182.273332029065	10.8775931909255	1.71612673058588	6.33845566126221	2.32079606232047e-10	4.54845970808982e-10
"cCluster_8950"	6062.4074865813	0.457222483070979	0.0721533356853108	6.33681698466592	2.34560330963456e-10	4.59662769645349e-10
"cCluster_989"	1258.89388713689	4.65285301600325	0.734327057989492	6.3362134969427	2.35480436224471e-10	4.61420611495371e-10
"cCluster_43494"	393.196442205054	1.34469222397508	0.212303147742181	6.3338308370635	2.39147708998912e-10	4.68560616699684e-10
"cCluster_30003"	202.856074682544	6.81426010985176	1.07595958717846	6.33319335693746	2.40138308688584e-10	4.7045534680801e-10
